Date,1Y,2Y,3Y,4Y,6M,6M_1Y,2Y_6M,3Y_6M,4Y_6M,5Y,7Y,10Y,7Y_5Y,10Y_5Y
12/31/2018,30.2184,38.7372,50.1447,61.4027,,,,,,48.7114,,,,

11/30/2018,23.71,31.3191,39.4961,49.5749,,,,,,51.219,,,,

10/31/2018,23.1276,30.8724,37.8374,46.9479,,,,,,62.228,,,,

9/28/2018,19.8845,27.4194,33.399,41.474,,,,,,54.4454,,,,

8/31/2018,20.5637,28.259,34.2053,42.6023,,,,,,51.3011,,,,

3/30/2018,19.8911,25.0748,32.1432,40.4571,16.9706,2.9206,8.1042,15.1726,23.4865,54.0579,,,,

9/29/2017,18.6819,26.0471,33.7294,42.5672,,,,,,73.1449,,,,

7/31/2017,17.4445,25.2132,32.5173,41.1679,,,,,,56.5996,,,,

6/30/2017,18.2495,25.7447,33.0244,41.868,,,,,,63.19,85.7306,103.6514,22.5406,40.4614

5/31/2017,20.4667,29.3281,37.1859,46.4227,,,,,,63.2244,84.2411,101.9893,21.0167,38.7649

2/28/2017,,34.3731,43.4744,53.6942,,,,,,64.3469,86.0285,102.8429,21.6816,38.496

1/31/2017,26.8953,38.6768,48.9259,60.0828,,,,,,82.293,96.4393,112.2854,14.1463,29.9924

10/31/2016,,40.2001,53.053,64.5911,,,,,,61.3295,82.2776,98.3559,20.9481,37.0264

3/31/2016,,63.3433,,,,,,,,60.2114,78.5777,94.6468,18.3663,34.4354

2/29/2016,53.0891,63.6533,84.0526,98.1958,53.5309,-0.4418,10.1224,30.5217,44.6649,50.7189,73.1434,89.3261,22.4245,38.6071

1/29/2016,34.6772,49.2133,65.3877,75.6647,27.1853,7.4918,22.028,38.2024,48.4794,51.6798,73.4115,89.1503,21.7317,37.4706

12/31/2015,29.3884,42.563,57.3731,67.2328,22.8111,6.5773,19.7519,34.562,44.4217,49.7188,,,,

11/30/2015,28.6093,42.8497,56.9137,66.1255,22.8483,5.7611,20.0014,34.0654,43.2772,58.26,,,,

10/30/2015,30.0617,41.3908,56.3964,68.1372,22.6866,7.375,18.7042,33.7098,45.4506,59.9409,,,,

9/30/2015,35.3651,49.994,68.6334,81.8054,26.7192,8.6459,23.2748,41.9142,55.0862,52.4334,,,,

8/31/2015,30.3754,44.2249,61.0181,73.118,23.1465,7.2289,21.0784,37.8716,49.9715,56.3039,69.8805,87.0884,13.5766,30.7845

7/31/2015,28.8504,39.2848,52.1456,65.8421,19.8576,8.9929,19.4273,32.288,45.9846,48.5055,,,,

6/30/2015,29.8201,41.3072,56.6391,69.3031,23.2132,6.6069,18.0939,33.4259,46.0899,39.81,,,,

5/29/2015,26.855,37.0115,50.2961,61.9413,20.5838,6.2711,16.4277,29.7122,41.3575,39.7973,,,,

4/30/2015,27.6585,36.1303,49.9607,61.7956,22.0356,5.6229,14.0947,27.925,39.7599,43.9486,,,,

3/31/2015,26.3409,37.6539,49.2997,61.4665,20.2802,6.0607,17.3737,29.0195,41.1863,47.115,,,,

2/27/2015,25.3527,36.8174,48.3399,60.9556,19.2243,6.1284,17.5931,29.1156,41.7313,48.4304,72.2346,89.5192,23.8042,41.0888

1/30/2015,28.5427,40.856,56.0591,69.983,20.0934,8.4493,20.7626,35.9657,49.8896,55.3807,,,,

12/31/2014,25.3929,36.6704,46.8703,59.3311,17.4449,7.9479,19.2255,29.4254,41.8861,51.553,72.953,91.1346,21.4001,39.5817

11/28/2014,21.1275,31.6122,39.5873,49.6702,15.1876,5.9399,16.4246,24.3997,34.4826,51.2319,73.5792,91.7447,22.3473,40.5127

10/31/2014,23.2009,33.5169,44.4084,55.8448,17.6842,5.5167,15.8326,26.7242,38.1605,57.4067,79.5389,97.0606,22.1323,39.6539

9/30/2014,28.9665,39.6153,50.5905,65.2265,22.3311,6.6354,17.2842,28.2594,42.8955,57.941,,,,

8/29/2014,21.0291,31.186,42.1704,53.4974,17.3424,3.6866,13.8436,24.828,36.155,64.0516,,,,

7/31/2014,24.2659,34.4591,45.8413,57.5991,17.7737,6.4921,16.6854,28.0676,39.8254,61.0694,89.1204,106.6594,28.0509,45.59

6/30/2014,20.5452,30.5333,41.0835,53.2485,14.8515,5.6938,15.6819,26.232,38.3971,71.9343,97.1444,114.0813,25.2101,42.147

5/30/2014,22.0413,31.3641,43.6883,55.1842,17.5393,4.502,13.8247,26.149,37.6448,75.6096,,,,

4/30/2014,23.3756,33.7012,46.0201,58.0129,17.7044,5.6712,15.9968,28.3158,40.3085,77.9096,,,,

3/31/2014,25.2168,36.7026,50.6925,63.3519,20.3514,4.8654,16.3512,30.3411,43.0005,78.7596,105.3983,122.3889,26.6387,43.6293

2/28/2014,27.6933,37.6898,53.6748,66.678,22.968,4.7252,14.7217,30.7068,43.71,87.3293,,,,

1/31/2014,32.6868,44.6882,62.0029,76.0007,24.8499,7.8369,19.8383,37.153,51.1508,75.2373,,,,

12/31/2013,20.9268,31.5289,45.4119,57.5127,,,,,,80.9649,,,,

